oldname,name,band,seite
BVerfG_1998-12-10_S_2_BvR_1516_93_NA,Flughafenverfahren-ZwangsvollstreckungKostenerstattung,99,338
BVerfG_1999-01-19_S_1_BvR_2161_94_NA,TestierausschlussTaubstummer,99,341
BVerfG_1999-01-20_S_2_BvG_0002_95_NA,Bundesgelderveruntreuung,99,361
BVerfG_1999-03-02_S_1_BvL_0002_91_NA,MontanMitbestimmung,99,367
BVerfG_1999-04-28_S_1_BvL_0032_95_NA,Rentenüberleitung-1,100,1
BVerfG_1999-04-28_S_1_BvL_0022_95_NA,Rentenüberleitung-2,100,59
BVerfG_1999-04-28_S_1_BvR_1926_96_NA,Rentenüberleitung-3,100,104
BVerfG_1999-04-28_S_1_BvL_0011_94_NA,Rentenüberleitung-4,100,138
BVerfG_1999-02-02_S_1_BvL_0008_97_NA,Einheitswert,100,195
BVerfG_1999-02-02_S_2_BvM_0001_98_NA,Zulässigkeit102Abs2GGAtomwaffen,100,209
BVerfG_1999-02-24_S_1_BvR_0123_93_NA,Gewerkschaftsausschluss,100,214
BVerfG_1999-03-02_S_1_BvL_0007_91_NA,Denkmalschutz,100,226
BVerfG_1999-03-02_S_2_BvF_0001_94_NA,AllgemeineVerwaltungsvorschriften,100,249
BVerfG_1999-03-11_S_2_BvR_1206_98_NA,GegenläufigeKindesrückführungsanträge-Vollstreckung,100,263
BVerfG_1999-03-25_S_2_BvE_0005_99_NA,Kosovo,100,266
BVerfG_1999-04-27_S_1_BvR_2203_93_NA,Lohnabstandsklausel,100,271
BVerfG_1999-04-27_S_1_BvR_1613_94_NA,AbfindungAktionäre,100,289
BVerfG_1999-07-14_S_1_BvR_2226_94_NA,Telekommunikationsüberwachung-1,100,313
BVerfG_1999-07-06_S_2_BvF_0003_90_NA,Hennenhaltungsverordnung,101,1
BVerfG_1999-07-06_S_2_BvF_0002_98_NA,Finanzausgleich-3-BefangenheitKirchhof,101,46
BVerfG_1999-07-14_S_1_BvR_0995_95_NA,Schuldrechtsanpassungsgesetz,101,54
BVerfG_1999-10-27_S_1_BvR_0385_90_NA,Akteneinsichtsrecht,101,106
BVerfG_1999-10-29_S_2_BvR_1264_90_NA,Heileurythmisten,101,132
BVerfG_1999-11-09_S_2_BvL_0005_95_NA,Ausgleichsfonds,101,141
BVerfG_1999-11-10_S_2_BvR_2861_93_NA,Umsatzsteuerbefreiung,101,151
BVerfG_1999-11-11_S_2_BvF_0002_98_NA,Finanzausgleich-3,101,158
BVerfG_1999-11-23_S_1_BvF_0001_94_NA,Stichtagsregelung,101,239
BVerfG_1999-12-07_S_2_BvR_1533_94_NA,Fahnenflucht,101,275
BVerfG_1999-12-07_S_2_BvR_0301_98_NA,HäuslichesArbeitszimmer,101,297
BVerfG_1999-12-14_S_1_BvR_1327_98_NA,Versäumnisurteil,101,312
BVerfG_1999-12-15_S_1_BvR_1904_95_NA,Berufsbetreuer,101,331
BVerfG_1999-12-15_S_1_BvR_0653_96_NA,CarolineVonMonaco-2,101,361
BVerfG_2000-01-18_S_1_BvR_0321_96_NA,KontrolleRechtspfleger,101,397
BVerfG_2000-02-16_S_1_BvR_0242_91_NA,Altlasten,102,1
BVerfG_2000-02-16_S_1_BvR_0420_97_NA,Frischzellen,102,26
BVerfG_2000-03-14_S_1_BvR_0284_96_NA,Kriegsbeschädigtengrundrente,102,41
BVerfG_2000-03-15_S_1_BvL_0016_96_NA,KrankenversicherungRentner,102,68
BVerfG_2000-03-29_S_2_BvL_0003_96_NA,LandesabfallgesetzNRW,102,99
BVerfG_2000-05-10_S_1_BvR_0539_96_NA,SpielbankengesetzBaden-Württemberg-SelbstablehnungPapier,102,122
BVerfG_2000-05-24_S_1_BvL_0001_98_NA,Lohnersatzleistungen,102,127
BVerfG_2000-06-07_S_2_BvL_0001_97_NA,Bananenmarktordnung,102,147
BVerfG_2000-07-03_S_2_BvG_0001_96_NA,Bundesstrasse-B-75,102,167
BVerfG_2000-07-03_S_2_BvK_0003_98_NA,SchuleInFreiheit,102,176
BVerfG_2000-07-12_S_2_BvF_0001_00_NA,WahlprüfungHessen-BefangenheitJentsch,102,192
BVerfG_2000-07-19_S_1_BvR_0539_96_NA,SpielbankengesetzBaden-Württemberg,102,197
BVerfG_2000-07-21_S_2_BvH_0003_91_NA,Funktionszulagen,102,224
BVerfG_2000-07-21_S_2_BvH_0004_91_NA,VersorgungAbgeordneteLandtagRheinlandPfalz,102,245
BVerfG_2000-11-22_S_1_BvR_2307_94_NA,EALG,102,254
BVerfG_2000-12-12_S_1_BvR_1762_95_NA,Schockwerbung-1,102,347
